orig,bundle,role,producer_script,source_data_level,original_path,original_sha256,copied_path,copied_sha256,byte_identical,copy_status
runs/PF_vs_CZM_first_passage_with_analytic_publication/first_passage_comparison_with_analytic.csv,fig2_first_passage_comparison_with_analytic_1x.csv,"Fig.2 1x-rate first-passage K_c(T) comparison (V1 analytic vs PF/sharp-front vs FEM/CZM), all 4 classes",compare_pf_czm_first_passage_with_analytic.py (packaged in PF_CZM_First_Passage_And_MeanRcurve_Analytic_Comparison_Publication.zip),"derived (one row per class/temperature, paired from per-case FEM/PF run summaries and a V1 analytic evaluation; not itself an aggregate across seeds)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF_vs_CZM_first_passage_with_analytic_publication/first_passage_comparison_with_analytic.csv,a19a1be0bd7ef132436d392f6ddb77c0524355c8d2e823e6af73c95623cac3e2,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig2_first_passage_comparison_with_analytic_1x.csv,a19a1be0bd7ef132436d392f6ddb77c0524355c8d2e823e6af73c95623cac3e2,True,OK
runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,fig3_seed_Rcurve_metrics_and_fits.csv,"Fig.3 R-curve statistics (K0/Kss/DeltaK_R) -- RAW SEED-LEVEL table (5 seeds x 4 classes = 20 rows), the genuine raw source for the class means/stds shown in Fig. 3",Rcurve_analysis pipeline run against runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/<class>/replicate_0N_seed110N/T500_th45/,raw (per-seed; NOT an aggregate),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,True,OK
runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/class_Rcurve_metric_summary_complete_only.csv,fig3_class_Rcurve_metric_summary_complete_only.csv,"Fig.3 class-mean +/- std summary, DERIVED from the seed-level file above -- kept for cross-check only, no longer the primary verification source",Rcurve_analysis pipeline,derived (aggregate of the raw seed-level file),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/class_Rcurve_metric_summary_complete_only.csv,34bbd6c982cf3d33d15f54eb1574ba219ea01aded9e2993de24a51ed3d21a109,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_class_Rcurve_metric_summary_complete_only.csv,34bbd6c982cf3d33d15f54eb1574ba219ea01aded9e2993de24a51ed3d21a109,True,OK
runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/class_mean_Rcurve_fits.csv,fig3_class_mean_Rcurve_fits.csv,"Sec 2.15 fitted saturation parameters (K_ss, characteristic extension) per class",Rcurve_analysis pipeline,derived (fit of the class-mean R-curve),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/class_mean_Rcurve_fits.csv,74b55c6a719ac49c2e9954851c42b667c7c1eeb80b38b3339a748338f72ad5ea,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_class_mean_Rcurve_fits.csv,74b55c6a719ac49c2e9954851c42b667c7c1eeb80b38b3339a748338f72ad5ea,True,OK
runs/CZM_four_rate_temperature_comparison/first_passage_comparison_with_analytic.csv,fig4_first_passage_comparison_with_analytic_all_rates.csv,"Fig.4 rate-sweep first-passage comparison: FEM/CZM Kc_first vs V1 analytic-interpolated K, all 4 classes x 4 rates (0.1x/1x/10x/100x) x up to 10 temperatures -- the raw K columns used for this branch's independent RMSE/DBTT-shift/peak-attenuation recomputation","the same comparison pipeline as fig2's, generalized to 4 rate factors; comparison_config.json in the same directory records root=runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45","derived (one row per class/rate/temperature, paired from per-case FEM run summaries and a rate-scaled V1 analytic evaluation)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/CZM_four_rate_temperature_comparison/first_passage_comparison_with_analytic.csv,50dd7a22b5826ff80e9a33aa71df5a7055de43fa9c97bee9d53c93cff7a9f7de,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig4_first_passage_comparison_with_analytic_all_rates.csv,50dd7a22b5826ff80e9a33aa71df5a7055de43fa9c97bee9d53c93cff7a9f7de,True,OK
runs/CZM_four_rate_temperature_comparison/first_passage_error_metrics_by_class_rate.csv,fig4_first_passage_error_metrics_by_class_rate.csv,Fig.4 pipeline's OWN precomputed RMSE/bias/percent-error per class/rate -- kept for cross-check against this branch's independent recomputation from the raw K columns above,same pipeline as fig4_first_passage_comparison_with_analytic_all_rates.csv,derived (aggregate of the raw comparison table),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/CZM_four_rate_temperature_comparison/first_passage_error_metrics_by_class_rate.csv,a1b6f7de5641db7c0949625ad1c60fd7644f4999afdc283f24e641ad7998874f,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig4_first_passage_error_metrics_by_class_rate.csv,a1b6f7de5641db7c0949625ad1c60fd7644f4999afdc283f24e641ad7998874f,True,OK
runs/CZM_four_rate_temperature_comparison/comparison_config.json,fig4_comparison_config.json,"Fig.4 pipeline configuration: confirms theta, rate factors, classes, temperature grid, and the V1 script/params used to generate the analytic column","n/a (config, not output)",config,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/CZM_four_rate_temperature_comparison/comparison_config.json,09d1724d9d4e76f824ce383c22881dfcbee7a2f7b6b0db80939f83a1a059af7e,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig4_comparison_config.json,09d1724d9d4e76f824ce383c22881dfcbee7a2f7b6b0db80939f83a1a059af7e,True,OK
four_class_analytical_prediction_final.csv,fig2_four_class_analytical_prediction_final_fine_grid.csv,"V1 analytic K(T) at 5K resolution for all 4 classes (base_kdot=0.005, i.e. nominal 1x). Column K_target_MPa_sqrt_m carries the genuine narrow intermediate-temperature peak for the peak class (e.g. local max ~20.7 MPa*sqrt(m) near T=905K) that the 100K-spaced comparison grids only partially resolve; column K_analytic_MPa_sqrt_m is a smoother companion curve. This file is the fine-grid evidence used to confirm Fig.2/4's 'narrow peak' language is a real feature, not an artifact of coarse sampling.",run_v1_exp_floor_four_class_tuning.py (per comparison_config.json's v1_script field),"derived (direct analytic-model evaluation, not a simulation output)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/four_class_analytical_prediction_final.csv,6da104f78352c937d2211619bbf9b0d2f19291363c55d01001f79716bbf063c4,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig2_four_class_analytical_prediction_final_fine_grid.csv,6da104f78352c937d2211619bbf9b0d2f19291363c55d01001f79716bbf063c4,True,OK
cohesive_exp_floor_comparison_package/cohesive_exp_floor_comparison/peak_900K_comparison_curves.csv,fig7_peak_900K_comparison_curves.csv,"Fig.7 cohesive-law mapping curves (peak class, 900K): sigma vs H_EXPfloor, v_EXPfloor, bilinear/exponential/polynomial fitted comparisons",compare_exp_floor_to_standard_cohesive.m,"derived (fitted comparison curves, computed directly from the EXP-floor barrier form and a MATLAB cohesive-law fit)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/cohesive_exp_floor_comparison_package/cohesive_exp_floor_comparison/peak_900K_comparison_curves.csv,2926874523df138a14f3b705ba4ffeabde55e0dbde227a4489f9a0b151df53bd,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig7_peak_900K_comparison_curves.csv,2926874523df138a14f3b705ba4ffeabde55e0dbde227a4489f9a0b151df53bd,True,OK
cohesive_exp_floor_comparison_package/cohesive_exp_floor_comparison/peak_900K_fitted_parameters.csv,fig7_peak_900K_fitted_parameters.csv,"Fig.7 fitted cohesive-law parameters (sigma_max, delta_c, RMSE_H, RMSE_v) for Bilinear/Exponential/Polynomial forms at peak class, 900K",compare_exp_floor_to_standard_cohesive.m,derived (fit output),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/cohesive_exp_floor_comparison_package/cohesive_exp_floor_comparison/peak_900K_fitted_parameters.csv,2865638cad53577dbf4c3996ba5054b020b8611f439d27fc116cb1322a87c64a,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig7_peak_900K_fitted_parameters.csv,2865638cad53577dbf4c3996ba5054b020b8611f439d27fc116cb1322a87c64a,True,OK
