trajectory,event_index,blocks_to_fire,waiting_time_s_this_event,cumulative_time_s,accepted_length_m,cumulative_extension_m,pre_event_max_pB,pre_event_K_rebond_Pa_sqrt_m,max_pB_post_commit,max_K_rebond_post_commit_Pa_sqrt_m,max_phase_resolved_K_rebond_Pa_sqrt_m,action_weighted_K_rebond_Pa_sqrt_m,cleavage_action,hazard_threshold_action,hazard_event_index,engine_id,any_bulk_action_used,all_bulk_action_qualified,mpz_mobile_count,mpz_retained_count,mpz_emitted_total,mpz_escaped_total,mpz_recovered_total,r_eff,sigma_tip,mpz_total_K_shield_Pa_sqrt_m
D1_K15MPa_seed1720_finite,0,1,0.0014430887951771573,0.0014430887951771573,4.9999999999999996e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.631088337562131e-54,0.4332087756327596,1,1,False,True,8.64720058102109e-07,1.8348070541307335e-51,8.64720058102109e-07,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,1,3,0.011065679392362616,0.012508768187539774,4.9999999999999996e-06,9.999999999999999e-06,0.5509779455274159,900000.0,0.5422284733885554,221.55421146353825,900000.0,900000.0,4.818907773935525e-08,0.004735693787404665,2,1,False,True,6.622302757730857e-06,1.0734235463488e-49,7.487022815832965e-06,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,2,1,9.679214800801562e-05,0.01260556033554779,4.9999999999999996e-06,1.4999999999999999e-05,0.4482172890421371,183.14130096759956,0.4482171873024977,0.008314600313229881,183.1412843392975,183.1412801822222,7.085965593731739e-06,0.4743474603364672,3,1,False,True,5.802991416836884e-08,8.263884871929933e-54,7.545052730001343e-06,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,3,3,0.012172212184976945,0.024777772520524734,4.9999999999999996e-06,1.9999999999999998e-05,0.3259879739547668,900000.0,0.6160770783789876,251.73731716983417,900000.0,899999.9999999999,2.4084653500349737e-21,1.063242955769338,4,1,False,True,7.283805312955844e-06,1.2982441978900251e-49,1.4828858042957198e-05,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,4,43,0.027257278306220257,0.05203505082674499,4.9999999999999996e-06,2.4999999999999998e-05,0.3683505084730466,900000.0,0.3683501708516762,150.51278362575425,900000.0,900000.0000000001,4.10499975751571e-08,3.9401919556857865,5,1,False,True,1.6293798518904544e-05,6.46827234446102e-49,3.112265656186176e-05,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,5,45,0.10117802554118462,0.1532130763679296,4.9999999999999996e-06,2.9999999999999997e-05,0.26604089304811523,900000.0,0.6472455057747823,264.47280850534605,900000.0,899999.9999999997,1.861967950145056e-74,4.685684778076526,6,1,False,True,6.0307969962345276e-05,8.662759244884303e-48,9.143062652420696e-05,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,6,318,0.12039528135473762,0.27360835772266723,4.9999999999999996e-06,3.5e-05,0.4355067914641801,900000.0,0.43550647856115887,177.95379866532755,900000.0,900000.0,2.1236639467465653e-08,0.8521657919641812,7,1,False,True,7.172353890238768e-05,1.217827609830731e-47,0.00016315416542659228,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,7,5,0.021885314681547363,0.2954936724042146,4.9999999999999996e-06,3.9999999999999996e-05,0.5433423362924454,900000.0,0.543072308234886,221.90660149773487,900000.0,900000.0,5.675536231397139e-07,1.7287324266244588,8,1,False,True,1.3086791572043896e-05,4.1790912871933196e-49,0.00017624095699863605,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,8,18,0.04438249352973728,0.33987616593395187,4.9999999999999996e-06,4.4999999999999996e-05,0.27040059294670155,900000.0,0.6644297152231843,271.4945170194583,900000.0,899999.9999999997,4.3913512008434226e-74,0.2231995271257637,9,1,False,True,2.6508064582590795e-05,1.703079432216717e-48,0.00020274902158122683,0.0,0.0,1e-06,5984134206.02149,0.0
D1_K15MPa_seed1720_finite,9,2,0.005683676206586719,0.3455598421405386,4.9999999999999996e-06,4.9999999999999996e-05,0.3073659792943625,900000.0,0.6948267485492685,283.91547300737557,900000.0,899999.9999999998,4.077881694630043e-73,1.8975835192495756,10,1,False,True,3.403337034406687e-06,2.8393931470008995e-50,0.00020615235861563347,0.0,0.0,1e-06,5984134206.02149,0.0
